,0,1
mean_speed_on_paper_C_G_ratio,-0.6472050199259679,0.21905400674417402
max_x_extension_G_mean,-0.4468559275300023,0.15124354470246415
num_of_pendown_M_G_ratio,0.7299077467010153,-0.24704569888342018
mean_acc_on_paper_M_mean,-0.3666036078251728,0.12408122111005941
mean_acc_on_paper_C_mean,-0.2655010662502287,0.08986189934623223
num_of_pendown_G_mean,0.6653692603905867,-0.22520190351681355
total_time_C_G_ratio,-0.22298397476550644,0.07547149915140224
num_of_pendown_M_mean,0.8790238024906287,-0.2975157485352897
num_of_pendown_C_G_ratio,0.06826407158915125,-0.023104762691712848
mean_speed_on_paper_G_mean,-1.10255870255791,0.3731737147119083
pressure_mean_C_G_ratio,-0.293217373190746,0.09924280323379067
total_time_C_mean,-0.19381134041872095,0.06559768444941325
max_y_extension_G_mean,-0.20949258078302968,0.07090518118810253
mean_speed_on_paper_M_mean,-1.1303820024141233,0.3825908315863187
total_time_M_G_ratio,-0.07806483560856349,0.02642194435982137
gmrt_on_paper_C_mean,-1.1633233378984984,0.3937402066733375
max_x_extension_C_mean,-0.3510022075361445,0.11880074716608044
max_x_extension_M_mean,-0.3018384512992398,0.1021607065935884
pressure_mean_C_mean,-1.0986047185162713,0.3718354431901221
total_time_M_mean,0.47891315411723884,-0.16209368293198845
mean_acc_on_paper_G_mean,0.1705423072755465,-0.05772201169326003
pressure_mean_M_mean,-0.968654283777775,0.3278522191247854
gmrt_on_paper_C_G_ratio,-0.4894826333181996,0.16567104512308295
total_time_G_mean,0.46146985569777216,-0.1561897973130922
mean_speed_on_paper_M_G_ratio,-0.5749551258576097,0.1946001964441138
num_of_pendown_C_mean,0.6368607999056364,-0.21555288612190743
gmrt_on_paper_G_mean,-1.0757239188919858,0.3640911725480568
gmrt_on_paper_M_G_ratio,-0.5215088926775838,0.17651070213702882
pressure_mean_M_G_ratio,0.14256421828754187,-0.04825250465116703
gmrt_on_paper_M_mean,-1.0846382136793162,0.3671083184760759
max_y_extension_C_mean,-0.29310390286101273,0.0992043978914191
max_y_extension_M_mean,-0.4897993005275272,0.16577822479393076
mean_acc_on_paper_C_G_ratio,-0.4034158529717745,0.1365407502365995
mean_speed_on_paper_C_mean,-1.1780173886975787,0.3987135777130274
pressure_mean_G_mean,-1.0879229540490054,0.3682200767550477
mean_acc_on_paper_M_G_ratio,-0.41260482408171034,0.13965086353534822
